t,x,y,z
1.634699999999963040e+02,-2.247087143971806089e+00,-1.249188838451253281e+00,3.007737965537150782e+00
1.634799999999962949e+02,-2.298044382225834958e+00,-1.228681691558658029e+00,3.157174716684398419e+00
1.634899999999962859e+02,-2.347859808145261074e+00,-1.207405681867820935e+00,3.304079202806935456e+00
1.634999999999962768e+02,-2.396454623041014198e+00,-1.185382372365191062e+00,3.448360041662121844e+00
1.635099999999962677e+02,-2.443750874673037199e+00,-1.162633226362039141e+00,3.589928453880474102e+00
1.635199999999962586e+02,-2.489671465558977115e+00,-1.139179594832193443e+00,3.728698252957108661e+00
1.635299999999962495e+02,-2.534140148141775573e+00,-1.115042697642291802e+00,3.864585828575851423e+00
1.635399999999962404e+02,-2.577081519760642259e+00,-1.090243605621568967e+00,3.997510127352028153e+00
1.635499999999962313e+02,-2.618421028210483836e+00,-1.064803228314258110e+00,4.127392636614259480e+00
1.635599999999962222e+02,-2.658084960183780598e+00,-1.038742297282877480e+00,4.254157362637640105e+00
1.635699999999962131e+02,-2.696000443408303582e+00,-1.012081353343312173e+00,4.377730809704830861e+00
1.635799999999962040e+02,-2.732095432345183816e+00,-9.848407289089347039e-01,4.498041953239812152e+00
1.635899999999961949e+02,-2.766298704043036683e+00,-9.570405359001447065e-01,4.615022215630614433e+00
1.635999999999961858e+02,-2.798539851538515144e+00,-9.287006513510897010e-01,4.728605437886809426e+00
1.636099999999961767e+02,-2.828749266711766186e+00,-8.998407039308908839e-01,4.838727850546281850e+00
1.636199999999961676e+02,-2.856858136793616776e+00,-8.704800606352343095e-01,4.945328042454205431e+00
1.636299999999961585e+02,-2.882798428177980821e+00,-8.406378156139050484e-01,5.048346929929779847e+00
1.636399999999961494e+02,-2.906502864219245641e+00,-8.103327716550655646e-01,5.147727717531144442e+00
1.636499999999961403e+02,-2.927904923975209073e+00,-7.795834365389944232e-01,5.243415869279992592e+00
1.636599999999961312e+02,-2.946938812074290315e+00,-7.484080041545030371e-01,5.335359066561057517e+00
1.636699999999961221e+02,-2.963539452402351060e+00,-7.168243482246116072e-01,5.423507173636969547e+00
1.636799999999961130e+02,-2.977642458318422669e+00,-6.848500046229133442e-01,5.507812192735500822e+00
1.636899999999961040e+02,-2.989184118642558730e+00,-6.525021668767215788e-01,5.588228227859014297e+00
1.636999999999960949e+02,-2.998101381637270357e+00,-6.197976748974824979e-01,5.664711442471509706e+00
1.637099999999960858e+02,-3.004331815401098726e+00,-5.867529972449427866e-01,5.737220009341669424e+00
1.637199999999960767e+02,-3.007813600374760643e+00,-5.533842290941932696e-01,5.805714071824629841e+00
1.637299999999960676e+02,-3.008485500921337596e+00,-5.197070804558107104e-01,5.870155696416945013e+00
1.637399999999960585e+02,-3.006286836384585825e+00,-4.857368667632957493e-01,5.930508825419365415e+00
1.637499999999960494e+02,-3.001157450425647077e+00,-4.514884960406460035e-01,5.986739225393761465e+00
1.637599999999960403e+02,-2.993037689612396690e+00,-4.169764670648605787e-01,6.038814443299616919e+00
1.637699999999960312e+02,-2.981868373174929587e+00,-3.822148549396831574e-01,6.086703751326738576e+00
1.637799999999960221e+02,-2.967590762717834618e+00,-3.472173067580865968e-01,6.130378098596398040e+00
1.637899999999960130e+02,-2.950146525985820833e+00,-3.119970304483589141e-01,6.169810055722857456e+00
1.637999999999960039e+02,-2.929477705387629971e+00,-2.765667871617263351e-01,6.204973761469628535e+00
1.638099999999959948e+02,-2.905526691618386614e+00,-2.409388898393672873e-01,6.235844873223897800e+00
1.638199999999959857e+02,-2.878236182580808045e+00,-2.051251891699404084e-01,6.262400506351775142e+00
1.638299999999959766e+02,-2.847549148079270509e+00,-1.691370700561287688e-01,6.284619180774117631e+00
1.638399999999959675e+02,-2.813408795594492862e+00,-1.329854445589876422e-01,6.302480763526655316e+00
1.638499999999959584e+02,-2.775758532713676452e+00,-9.668074619725992858e-02,6.315966411892064869e+00
1.638599999999959493e+02,-2.734541929499625823e+00,-6.023292343520144504e-02,6.325058514591568759e+00
1.638699999999959402e+02,-2.689702669626332199e+00,-2.365143078260262960e-02,6.329740630009061064e+00
1.638799999999959311e+02,-2.641184523396628681e+00,1.305476869904324475e-02,6.329997432999193485e+00
1.638899999999959221e+02,-2.588931300998774887e+00,4.987721561593548569e-02,6.325814649156797032e+00
1.638999999999959130e+02,-2.532886805171235878e+00,8.680795807629987371e-02,6.317178994763815503e+00
1.639099999999959039e+02,-2.472994796125267403e+00,1.238395533121188774e-01,6.304078117663308056e+00
1.639199999999958948e+02,-2.409198938793620126e+00,1.609650764572785053e-01,6.286500531782813539e+00
1.639299999999958857e+02,-2.341442768416631459e+00,1.981781189988686409e-01,6.264435559509718310e+00
1.639399999999958766e+02,-2.269669627660847233e+00,2.354728030719688281e-01,6.237873260012616328e+00
1.639499999999958675e+02,-2.193822640269874391e+00,2.728437729713295012e-01,6.206804375654574102e+00
1.639599999999958584e+02,-2.113844646520877113e+00,3.102862074610489573e-01,6.171220261362676318e+00
1.639699999999958493e+02,-2.029678163867183915e+00,3.477958200387286647e-01,6.131112822340767821e+00
1.639799999999958402e+02,-1.941265329510160953e+00,3.853688627815713419e-01,6.086474449081301863e+00
1.639899999999958311e+02,-1.848547855121365213e+00,4.230021295338457499e-01,6.037297951837437893e+00
1.639999999999958220e+02,-1.751466976602880754e+00,4.606929588430847544e-01,5.983576495249513627e+00
1.640099999999958129e+02,-1.649963397724500958e+00,4.984392356310818339e-01,5.925303533125509503e+00
1.640199999999958038e+02,-1.543977231495865299e+00,5.362393997827742398e-01,5.862472737171964710e+00
1.640299999999957947e+02,-1.433447969969715130e+00,5.740924335732108252e-01,5.795077942925389358e+00
1.640399999999957856e+02,-1.318314395120483651e+00,6.119978849391648490e-01,5.723113065878174588e+00
1.640499999999957765e+02,-1.198514546338456110e+00,6.499558535213134647e-01,5.646572047284068141e+00
1.640599999999957674e+02,-1.073985649438500500e+00,6.879670014147436508e-01,5.565448779061094697e+00
1.640699999999957583e+02,-9.446640766169644987e-01,7.260325475595297284e-01,5.479737043468375646e+00
1.640799999999957492e+02,-8.186076805994859651e-01,7.641315333744408411e-01,5.389430439436664777e+00
1.640899999999957402e+02,-6.995903820419643315e-01,8.021560903715017066e-01,5.294529962851740379e+00
1.640999999999957311e+02,-5.854773027715299838e-01,8.399936095033657679e-01,5.195051861142512273e+00
1.641099999999957220e+02,-4.759572741473823698e-01,8.775533111570864575e-01,5.091024609811862334e+00
1.641199999999957129e+02,-3.707475045339100883e-01,9.147486059563055827e-01,4.982487392741060006e+00
1.641299999999957038e+02,-2.695912294338080883e-01,9.514968966285374252e-01,4.869489599391145340e+00
1.641399999999956947e+02,-1.722556032309112972e-01,9.877193852713797018e-01,4.752090356057993681e+00
1.641499999999956856e+02,-7.852977525253825031e-02,1.023340897145305517e+00,4.630358081048021823e+00
1.641599999999956765e+02,1.177689984445128707e-02,1.058289726878977266e+00,4.504370054158599146e+00
1.641699999999956674e+02,9.883651785674994750e-02,1.092497503494320954e+00,4.374212000360321539e+00
1.641799999999956583e+02,1.828041241839896136e-01,1.125899050426049319e+00,4.239977705028555199e+00
1.641899999999956492e+02,2.638191405447419258e-01,1.158432280055911257e+00,4.101768625056102735e+00
1.641999999999956401e+02,3.420066607027085204e-01,1.190038085283568581e+00,3.959693525330289621e+00
1.642099999999956310e+02,4.174786493931186837e-01,1.220660239970622341e+00,3.813868127302619815e+00
1.642199999999956219e+02,4.903350638966963992e-01,1.250245315959271686e+00,3.664414763915865514e+00
1.642299999999956128e+02,5.606648891391828871e-01,1.278742606123600023e+00,3.511462045051434444e+00
1.642399999999956037e+02,6.285470946823485949e-01,1.306104053773073925e+00,3.355144532973524107e+00
1.642499999999955946e+02,6.940515180990382005e-01,1.332284184425896578e+00,3.195602429429008406e+00
1.642599999999955855e+02,7.572397002675564925e-01,1.357240054434530885e+00,3.032981261818759933e+00
1.642699999999955764e+02,8.181656365777155715e-01,1.380931195375311615e+00,2.867431583178307264e+00
1.642799999999955674e+02,8.768764904506546332e-01,1.403319566379307881e+00,2.699108675434863436e+00
1.642899999999955583e+02,9.334132387073106329e-01,1.424369505600374675e+00,2.528172264645390133e+00
1.642999999999955492e+02,9.878113030883665102e-01,1.444047704789835906e+00,2.354786222636274573e+00
1.643099999999955401e+02,1.040101089028441450e+00,1.462323157203526458e+00,2.179118299044889184e+00
1.643199999999955310e+02,1.094955032875414513e+00,1.479183618778302289e+00,2.001339834130577700e+00
1.643299999999955219e+02,1.152641920759396976e+00,1.494653149446377283e+00,1.821620699360902096e+00
1.643399999999955128e+02,1.212309111950453655e+00,1.508754932978590091e+00,1.640127597758531452e+00
1.643499999999955037e+02,1.273865313787470033e+00,1.521505031738240366e+00,1.457024848428801533e+00
1.643599999999954946e+02,1.337219566912200897e+00,1.532920066910398393e+00,1.272474783090761674e+00
1.643699999999954855e+02,1.402281246285781213e+00,1.543017186780127226e+00,1.086637688197195306e+00
1.643799999999954764e+02,1.468960123752190317e+00,1.551814062746261991e+00,8.996717279427519642e-01
1.643899999999954673e+02,1.537166384217989679e+00,1.559328849892223756e+00,7.117328965691888110e-01
1.643999999999954582e+02,1.606810674954231688e+00,1.565580173357919769e+00,5.229749547775840446e-01
1.644099999999954491e+02,1.677804135106973238e+00,1.570587098578228646e+00,3.335493812523545043e-01
1.644199999999954400e+02,1.750058464803001312e+00,1.574369123068684928e+00,1.436053085854171463e-01
1.644299999999954309e+02,1.823485926610090235e+00,1.576946138320680646e+00,-4.671051308013593473e-02
1.644399999999954218e+02,1.897999417137552713e+00,1.578338419528501291e+00,-2.372537727899782511e-01
1.644499999999954127e+02,1.973512492105245375e+00,1.578566600691849731e+00,-4.278826401490111175e-01
1.644599999999954036e+02,2.049939393253842557e+00,1.577651645368739253e+00,-6.184578012094912314e-01
1.644699999999953945e+02,2.127195109617247670e+00,1.575614841323601523e+00,-8.088425099643098415e-01
1.644799999999953855e+02,2.205195380799157334e+00,1.572477759886796722e+00,-9.989026103882381324e-01
1.644899999999953764e+02,2.283856761137193381e+00,1.568262250940251956e+00,-1.188506581888103986e+00
1.644999999999953673e+02,2.363096624511806798e+00,1.562990412460209644e+00,-1.377525563536256437e+00
1.645099999999953582e+02,2.442833212854351288e+00,1.556684575007281746e+00,-1.565833388006707239e+00
1.645199999999953491e+02,2.522985652936979850e+00,1.549367276006455407e+00,-1.753306602246640811e+00
1.645299999999953400e+02,2.603474000562609358e+00,1.541061248048543941e+00,-1.939824499370647048e+00
1.645399999999953309e+02,2.684219249571609289e+00,1.531789387161704985e+00,-2.125269130078106805e+00
1.645499999999953218e+02,2.765143370914368681e+00,1.521574745967651410e+00,-2.309525332606336079e+00
1.645599999999953127e+02,2.846169323612340651e+00,1.510440502332123014e+00,-2.492480740037752440e+00
1.645699999999953036e+02,2.927221087082119588e+00,1.498409947742512571e+00,-2.674025799706541306e+00
1.645799999999952945e+02,3.008223681123828541e+00,1.485506467265487629e+00,-2.854053785726118786e+00
1.645899999999952854e+02,3.089103177249945542e+00,1.471753516639390025e+00,-3.032460804651567976e+00
1.645999999999952763e+02,3.169786732804172669e+00,1.457174610309897256e+00,-3.209145807987116683e+00
1.646099999999952672e+02,3.250202600689195531e+00,1.441793302393504339e+00,-3.384010598134798542e+00
1.646199999999952581e+02,3.330280135106358230e+00,1.425633160252830267e+00,-3.556959823563623058e+00
1.646299999999952490e+02,3.409949818391163845e+00,1.408717756752596140e+00,-3.727900987600714533e+00
1.646399999999952399e+02,3.489143273595316064e+00,1.391070650934817854e+00,-3.896744446093761916e+00
1.646499999999952308e+02,3.567793268073976343e+00,1.372715364773537949e+00,-4.063403398976944025e+00
1.646599999999952217e+02,3.645833748568808819e+00,1.353675382840621610e+00,-4.227793898853937193e+00
1.646699999999952126e+02,3.723199820860500164e+00,1.333974117846527419e+00,-4.389834829032555952e+00
1.646799999999952036e+02,3.799827762420898036e+00,1.313634899115926347e+00,-4.549447897475579872e+00
1.646899999999951945e+02,3.875655055542664762e+00,1.292680968842337519e+00,-4.706557636325728211e+00
1.646999999999951854e+02,3.950620361318894602e+00,1.271135451946332040e+00,-4.861091376384148788e+00
1.647099999999951763e+02,4.024663547351702952e+00,1.249021350859024437e+00,-5.012979241082653914e+00
1.647199999999951672e+02,4.097725675123181865e+00,1.226361525706546773e+00,-5.162154125445518993e+00
1.647299999999951581e+02,4.169749016386016471e+00,1.203178683331202148e+00,-5.308551680759056701e+00
1.647399999999951490e+02,4.240677043160954618e+00,1.179495362517693602e+00,-5.452110294161850668e+00
1.647499999999951399e+02,4.310454443422941040e+00,1.155333923644412009e+00,-5.592771070252496202e+00
1.647599999999951308e+02,4.379027094958390265e+00,1.130716526057977234e+00,-5.730477800122510068e+00
