t,u,v
4.130014715233224637e-02,-3.775714071668649207e-03,1.221228434385458472e+00
4.135441804215134187e-02,-3.768916164191491759e-03,1.222109746330326541e+00
4.140868893197043737e-02,-3.762131417144944177e-03,1.222989662032289315e+00
4.146295982178953288e-02,-3.755359821023995098e-03,1.223868187497236359e+00
4.151723071160862838e-02,-3.748601366312793309e-03,1.224745328723058524e+00
4.157150160142772388e-02,-3.741856043485097903e-03,1.225621091699734544e+00
4.162577249124681938e-02,-3.735123843004726270e-03,1.226495482409416971e+00
4.168004338106591489e-02,-3.728404755326000363e-03,1.227368506826519656e+00
4.173431427088501733e-02,-3.721698770894189476e-03,1.228240170917802132e+00
4.178858516070411283e-02,-3.715005880145956507e-03,1.229110480642456649e+00
4.184285605052320833e-02,-3.708326073509790773e-03,1.229979441952193664e+00
4.189712694034230384e-02,-3.701659341406451659e-03,1.230847060791327108e+00
4.195139783016139934e-02,-3.695005674249401875e-03,1.231713343096860536e+00
4.200566871998049484e-02,-3.688365062445241992e-03,1.232578294798571283e+00
4.205993960979959034e-02,-3.681737496394141967e-03,1.233441921819096843e+00
4.211421049961868585e-02,-3.675122966490271779e-03,1.234304230074019015e+00
4.216848138943778135e-02,-3.668521463122227742e-03,1.235165225471948736e+00
4.222275227925688379e-02,-3.661932976673459243e-03,1.236024913914611778e+00
4.227702316907597929e-02,-3.655357497522695922e-03,1.236883301296931803e+00
4.233129405889507479e-02,-3.648795016044364438e-03,1.237740393507116510e+00
4.238556494871417030e-02,-3.642245522609013041e-03,1.238596196426740237e+00
4.243983583853326580e-02,-3.635709007583727472e-03,1.239450715930829894e+00
4.249410672835236130e-02,-3.629185461332549902e-03,1.240303957887947339e+00
4.254837761817145680e-02,-3.622674874216892660e-03,1.241155928160274646e+00
4.260264850799055231e-02,-3.616177236595951097e-03,1.242006632603697147e+00
4.265691939780964781e-02,-3.609692538827115153e-03,1.242856077067887588e+00
4.271119028762875025e-02,-3.603220771266379182e-03,1.243704267396389618e+00
4.276546117744784575e-02,-3.596761924268751347e-03,1.244551209426700833e+00
4.281973206726694126e-02,-3.590315988188656077e-03,1.245396908990356710e+00
4.287400295708603676e-02,-3.583882953380339992e-03,1.246241371913014095e+00
4.292827384690513226e-02,-3.577462810198277395e-03,1.247084604014533138e+00
4.298254473672422776e-02,-3.571055548997566220e-03,1.247926611109062112e+00
4.303681562654332327e-02,-3.564661160134332662e-03,1.248767399005118683e+00
4.309108651636241877e-02,-3.558279633966124952e-03,1.249606973505674068e+00
4.314535740618151427e-02,-3.551910960852311915e-03,1.250445340408234740e+00
4.319962829600061671e-02,-3.545555131154474581e-03,1.251282505504926146e+00
4.325389918581971221e-02,-3.539212135236804741e-03,1.252118474582574636e+00
4.330817007563880772e-02,-3.532881963466490052e-03,1.252953253422790070e+00
4.336244096545790322e-02,-3.526564606214106518e-03,1.253786847802048188e+00
4.341671185527699872e-02,-3.520260053854008808e-03,1.254619263491773662e+00
4.347098274509609422e-02,-3.513968296764712756e-03,1.255450506258421139e+00
4.352525363491518973e-02,-3.507689325329283944e-03,1.256280581863558066e+00
4.357952452473428523e-02,-3.501423129935721072e-03,1.257109496063947507e+00
4.363379541455338073e-02,-3.495169700977336300e-03,1.257937254611628752e+00
4.368806630437247623e-02,-3.488929028853139051e-03,1.258763863254000137e+00
4.374233719419157868e-02,-3.482701103968212017e-03,1.259589327733901198e+00
4.379660808401067418e-02,-3.476485916734093663e-03,1.260413653789693944e+00
4.385087897382976968e-02,-3.470283457569149892e-03,1.261236847155344565e+00
4.390514986364886518e-02,-3.464093716898953082e-03,1.262058913560506035e+00
4.395942075346796069e-02,-3.457916685156652882e-03,1.262879858730598714e+00
4.401369164328705619e-02,-3.451752352783352216e-03,1.263699688386892506e+00
4.406796253310615169e-02,-3.445600710228475475e-03,1.264518408246588788e+00
4.412223342292524719e-02,-3.439461747950138884e-03,1.265336024022900574e+00
4.417650431274434270e-02,-3.433335456415520862e-03,1.266152541425136002e+00
4.423077520256344514e-02,-3.427221826101225881e-03,1.266967966158777825e+00
4.428504609238254064e-02,-3.421120847493655699e-03,1.267782303925565790e+00
4.433931698220163614e-02,-3.415032511089368446e-03,1.268595560423578128e+00
4.439358787202073164e-02,-3.408956807395444218e-03,1.269407741347312157e+00
4.444785876183982715e-02,-3.402893726929849365e-03,1.270218852387766439e+00
4.450212965165892265e-02,-3.396843260221794284e-03,1.271028899232520715e+00
4.455640054147801815e-02,-3.390805397812094672e-03,1.271837887565818725e+00
4.461067143129711365e-02,-3.384780130253530611e-03,1.272645823068648152e+00
4.466494232111620916e-02,-3.378767448111203494e-03,1.273452711418822325e+00
4.471921321093531160e-02,-3.372767341962891637e-03,1.274258558291061494e+00
4.477348410075440710e-02,-3.366779802399408068e-03,1.275063369357072984e+00
4.482775499057350260e-02,-3.360804820024950075e-03,1.275867150285634022e+00
4.488202588039259811e-02,-3.354842385457456558e-03,1.276669906742671001e+00
4.493629677021169361e-02,-3.348892489328957577e-03,1.277471644391341643e+00
4.499056766003078911e-02,-3.342955122285925194e-03,1.278272368892115818e+00
4.504483854984988461e-02,-3.337030274989623464e-03,1.279072085902856815e+00
4.509910943966898011e-02,-3.331117938116458406e-03,1.279870801078901721e+00
