t,u,v
1.890000000000000124e+00,-7.121921388875975499e-03,1.416602638337257645e+02
1.892000000000000126e+00,-8.059871708838286380e-03,1.420232772833312254e+02
1.894000000000000128e+00,-8.998407787709701219e-03,1.424075329102825549e+02
1.896000000000000130e+00,-9.838581930947885509e-03,1.427915116662992148e+02
1.898000000000000131e+00,-1.049787978970989459e-02,1.431549993131306735e+02
1.900000000000000133e+00,-1.093478247898392250e-02,1.434848374734074810e+02
1.902000000000000135e+00,-1.114961979227324998e-02,1.437760671548293772e+02
1.904000000000000137e+00,-1.116966132415283218e-02,1.440296327160597230e+02
1.906000000000000139e+00,-1.103289316668407301e-02,1.442494452262566256e+02
1.908000000000000140e+00,-1.077745344032541089e-02,1.444403104695423394e+02
1.910000000000000142e+00,-1.043674275273354275e-02,1.446068595552597458e+02
1.912000000000000144e+00,-1.003803959770727811e-02,1.447531373064168463e+02
1.914000000000000146e+00,-9.602774535391758390e-03,1.448825234226408156e+02
1.916000000000000147e+00,-9.147400795017437275e-03,1.449977909144406283e+02
1.918000000000000149e+00,-8.684363101709245691e-03,1.451012059184110683e+02
1.919999999999999929e+00,-8.222970459922960412e-03,1.451946284270807439e+02
1.921999999999999931e+00,-7.770119035108157511e-03,1.452795999054508513e+02
1.923999999999999932e+00,-7.330868207469700207e-03,1.453574150572449071e+02
1.925999999999999934e+00,-6.908891801640362935e-03,1.454291792365504818e+02
1.927999999999999936e+00,-6.506829714233441052e-03,1.454958542091619620e+02
1.929999999999999938e+00,-6.126562710024156116e-03,1.455582950028061475e+02
1.931999999999999940e+00,-5.769429255729878643e-03,1.456172802451913242e+02
1.933999999999999941e+00,-5.436399527888140064e-03,1.456735379966676192e+02
1.935999999999999943e+00,-5.128218690935746477e-03,1.457277687590051016e+02
1.937999999999999945e+00,-4.845529287462637356e-03,1.457806671197853063e+02
1.939999999999999947e+00,-4.588981067059133209e-03,1.458329433804477446e+02
1.941999999999999948e+00,-4.359335731017188395e-03,1.458853465159040752e+02
1.943999999999999950e+00,-4.157573834154040457e-03,1.459386899280686407e+02
