time,lambda_1,lambda_2,lambda_3
103.5,0.624602770336442,0.004142750288645866,-20.83183975659805
104.0,0.6313018339018286,0.00873288510828683,-20.851178803624904
104.5,0.6307863044498754,0.003409153395591288,-20.84623443733757
105.0,0.6293483279317547,-0.0018655260676643914,-20.8424187378867
105.5,0.6344033520331428,0.008027091963754715,-20.856782900417947
106.0,0.6154859673348939,0.008379381433276203,-20.84559422351586
106.5,0.6298011958118053,0.00957892409297558,-20.858281615300434
107.0,0.6250453602274408,0.010643539269447565,-20.867518886114087
107.5,0.6288827395485217,0.009777445782426921,-20.871950013716592
108.0,0.6304793550952851,0.010612424722026543,-20.87571067307281
108.5,0.6339136872677761,0.008948966739596487,-20.87880911946472
109.0,0.6362204892641571,0.008511408599339137,-20.88163894749266
109.5,0.6390075096657092,0.006682630715431533,-20.883768259649266
110.0,0.6414961830480469,0.006291785194355244,-20.885984259839265
110.5,0.6436444932620689,0.003766537985799163,-20.886982306239023
111.0,0.645757124487067,0.005313653601087265,-20.888670707245968
111.5,0.6471937877034982,-0.0014857414091573535,-20.88675082660569
112.0,0.6450079398336089,0.008336697287783702,-20.886802909271132
112.5,0.6469405627006907,-0.0031098437363021266,-20.88856609176651
113.0,0.6516146327077565,0.0009273699448204328,-20.887024986385043
113.5,0.623749740130588,0.022478511606193956,-20.89419527266115
114.0,0.6478756805093051,0.005206285202175388,-20.89263758005599
114.5,0.6437918457428001,-0.011477141222954297,-20.88032897402173
115.0,0.6374742826373739,0.005588218049868304,-20.875168596822267
115.5,0.6266851222895489,0.012967080925878244,-20.889489217257584
116.0,0.6300000492722818,0.010584433099454572,-20.887559366791308
116.5,0.6353941390551829,0.008633413921278503,-20.88509312564362
117.0,0.638368865267625,0.0043234834439773205,-20.882259319234763
117.5,0.6469593635814159,0.002244326603355065,-20.877987360715334
118.0,0.643747982741674,-0.011249927215540209,-20.866316432199554
118.5,0.6305642605214755,0.013438677184412969,-20.857676914375173
119.0,0.6394668741690541,0.0006289637872206609,-20.871868241339598
119.5,0.6514691329911253,-0.009266739116410884,-20.868478947870333
120.0,0.6411440561284085,0.004436557591828801,-20.86485227948595
120.5,0.6535961159397139,-0.006403966609997709,-20.861794491440513
121.0,0.6516868524320047,0.0016156601161630556,-20.858884613930453
121.5,0.6561589294190459,-0.0030841219644443885,-20.857521487500623
122.0,0.6545301985089174,0.010438494750184851,-20.855573703322484
122.5,0.6566532935628572,-0.00232669269731337,-20.85333162220577
123.0,0.6609490294773407,0.008670528496188388,-20.85374421359485
123.5,0.6442571342797585,0.008306797547774946,-20.84950626889047
124.0,0.659104458979841,0.013142700052002368,-20.864753836108733
124.5,0.6589654643020144,0.015072123316975198,-20.86595232103367
125.0,0.662355970272757,0.014789071213945772,-20.865809062474288
125.5,0.6630395516362221,0.011049697078390685,-20.8650568616935
126.0,0.6537718593811616,-0.0012798045829247031,-20.844629250386728
126.5,0.6465645744039973,-0.005729160896252003,-20.83466025861355
127.0,0.636437794427359,0.015265435947959158,-20.853414241795708
127.5,0.6467807337729397,0.0008757872698091591,-20.850810255879594
128.0,0.6455924319500862,0.0009063364535068929,-20.85033260833873
128.5,0.643820536214595,0.002106552012713379,-20.852564835395974
129.0,0.6491463101641519,0.008689027944041658,-20.863573286161905
129.5,0.635272235731031,0.011518283853944858,-20.85942827804522
130.0,0.64882952516595,0.007931815560218509,-20.866893393169224
130.5,0.6421249197524617,0.011253041964111898,-20.873848274138403
131.0,0.6497223901500212,0.007302576237871594,-20.877740577747574
131.5,0.646860576617489,0.007190571990491751,-20.877718110384478
132.0,0.6521072945787655,0.007756112446491534,-20.881251220897617
132.5,0.6465578175838197,0.0013894488026941305,-20.876776662070938
133.0,0.6535768189158846,0.0018683697528730538,-20.879001110940315
133.5,0.6435465167335133,0.009104400679755584,-20.88812502548816
134.0,0.6519339676467824,0.0025844346196759313,-20.88965427011593
134.5,0.650391145114286,0.003280894678175901,-20.89001636931764
135.0,0.6536239419068431,0.0036650692753190887,-20.891002296383466
135.5,0.6536356046798278,-0.003625503183917337,-20.887493428429387
136.0,0.6476007892152341,0.009785570710205154,-20.886441411360387
136.5,0.6521199615415179,0.0007949700831243292,-20.8937421379858
137.0,0.6574913025706883,9.78700062859831e-05,-20.893090056410934
137.5,0.6453706289022203,-0.0014889168460192862,-20.88432799951961
138.0,0.6389277606864726,0.013664183557951303,-20.880493480677625
138.5,0.6462622139197313,0.0033253733126449962,-20.891880336791406
139.0,0.6481811392681337,0.0027265127658738053,-20.89044679329837
139.5,0.6437578908064481,0.008938973103369878,-20.888675499743577
140.0,0.6486521579336657,0.005163801428619089,-20.886623474957137
140.5,0.653380085246405,0.002932462746580569,-20.884157952661038
141.0,0.6568798910079817,-0.000538728401309524,-20.88158391694267
141.5,0.6609421038377924,-0.00025717958697277405,-20.878116482882085
142.0,0.6615827206499666,-0.006069249135904881,-20.87393228815096
142.5,0.6630771168730757,0.0009268682931807004,-20.86787277926386
143.0,0.6599685986777204,-0.0023532530255242806,-20.87271501013079
143.5,0.6703550000235365,-0.004355149809029128,-20.86879373812414
144.0,0.6514183434290122,-0.001638592508291399,-20.859906963110078
144.5,0.6658080275247145,0.0013150888835517403,-20.86092614082969
145.0,0.641420270567294,0.0161939587296416,-20.86516275320843
145.5,0.6677457980473208,0.0007910559863462134,-20.870255632849986
146.0,0.6634868106191774,0.008724336510960329,-20.870860063371776
146.5,0.6690489630004182,0.010276585103727311,-20.871362010015524
147.0,0.6689125118039242,0.010721054775140994,-20.87241376669243
147.5,0.6703715060259204,0.014062163383866115,-20.870744529293773
148.0,0.6697811694040486,0.007663515613489938,-20.869235786778233
148.5,0.6753652942411034,0.00941423014999965,-20.875819527855075
149.0,0.6704061532394567,0.01089159442869524,-20.874400107621053
149.5,0.6683222524078846,0.0081984127509506,-20.87148746000854
150.0,0.6665029889263727,0.0008103251683681393,-20.863303219157213
150.5,0.6705587327355129,0.004418479000264308,-20.877467091327727
151.0,0.6698670248976428,0.0004418535774505798,-20.873692358311384
151.5,0.670680785507437,-0.0004573484334857426,-20.8750133296057
152.0,0.6727489412176387,0.0051662695753332665,-20.88324956909539
152.5,0.671112568721768,0.005451834441561522,-20.8843041100516
153.0,0.6751534989667554,0.008302297486810314,-20.890268647694466
153.5,0.6656322935311275,0.00681906715818377,-20.885033080150336
154.0,0.6751668096324484,0.004625214543979382,-20.889591278575136
154.5,0.6690175678244448,0.008440776047750932,-20.89675900231342
155.0,0.6735193046942963,0.005494387388769319,-20.898968849385028
155.5,0.6734797618987375,0.005651432333205053,-20.900311061545025
156.0,0.6764470034708047,0.004837572911503041,-20.902200778245295
156.5,0.6767529589775677,0.0021381146452710245,-20.901959304773456
157.0,0.6781679620466204,0.005045694673645617,-20.90333102275318
157.5,0.6774581001573822,-0.008883213450236592,-20.894750381935296
158.0,0.6779724320338959,-0.0026794399565349047,-20.894444978187533
158.5,0.6723315959167122,0.0007477621290152332,-20.903736561139745
159.0,0.6706948227286041,0.002672627710675094,-20.90381182706427
159.5,0.6729411972531835,0.0022917320596694568,-20.903812248144543
160.0,0.6729559732456537,0.001149837794556775,-20.90301154045573
