block,time,lambda1,lambda2,lambda3,stretch1,stretch2,stretch3
150,75,0.30683431287854768,-0.010206180286827012,-1.5708199737628756,1.1725747890143567,0.79446520126647469,0.25431751856963009
151,75.5,0.29558060385656992,0.0016152893974905839,-1.5613853443279406,0.49845703855915263,2.4288499434503636,0.9295120903423989
152,76,0.27063806034267818,0.021967993801079472,-1.5587970549983001,0.17414917749891773,4.7002381581145549,0.5576729033957819
153,76.5,0.26931760693350493,0.020344542138757353,-1.5546117904151735,1.0348995246473538,0.89296306881850218,0.63177258282785043
154,77,0.28959836590226118,-0.0057674353993229961,-1.5390330477883154,5.4536071060156734,0.13527439614599418,1.5254009401233513
155,77.5,0.30297877044658361,-0.001276862054256783,-1.547282276124138,3.2601738922471082,1.4121815630625603,0.24442867756554787
156,78,0.29845802267825572,-0.0010217948266650562,-1.5534991385904213,0.81780697614615117,1.0194434210456929,0.284063802196101
157,78.5,0.28692856899543323,0.0068284390879986088,-1.5403152565658538,0.46961921065157802,1.8510119043679252,1.294578513060072
158,79,0.27209327837905128,0.014025015056400308,-1.5479882909595355,0.35753440840370504,1.7717074117868812,0.25250421296808623
159,79.5,0.28707420039427406,0.0017225798671188191,-1.5412451484707508,3.7698301198606994,0.37869237080736745,0.7882702290685315
160,80,0.29729002373371577,-0.0022788315338283537,-1.5381557014609537,2.6137944226054763,0.72669267433215978,0.59246302472261891
161,80.5,0.29855953630944959,-0.0067078855662619933,-1.5469868933312376,1.2851054461143083,0.69929802720370227,0.22764023878512651
162,81,0.28861623532527336,0.0077631253620542929,-1.5423090211389248,0.51885666382391471,3.2181219446885363,0.67395913593239398
163,81.5,0.27866901822582246,0.0036309302702270201,-1.5426038464216378,0.51355914508592648,0.71684736772228841,0.45149870646090229
164,82,0.28541412760952828,0.0047473614046323366,-1.5413405518089998,1.9985731052830522,1.0978599865535659,0.51288082795754875
165,82.5,0.28871238349251521,-0.000942541459713925,-1.529934673759082,1.514087843520076,0.62685294357782473,1.1856778818405349
166,83,0.29274318445306108,-0.00027792926994781676,-1.5375837868696034,1.6143181533740627,1.0562147654940708,0.24663550388045316
167,83.5,0.29103433808611123,0.0051874642015393487,-1.539346863653793,1.0036897108717098,1.5780996819533157,0.40011278668186528
168,84,0.28537470123841641,0.0060580462931924166,-1.5277055106232846,0.71900114687621963,1.078663341435308,1.2314597110988212
169,84.5,0.26921162651986974,0.006162259201509237,-1.5213779169416652,0.29431858876477429,1.011905324779335,0.79519247301037355
170,85,0.27263128574326034,0.0020528411456643158,-1.5119694928460483,1.5300139411845151,0.70735727225401757,1.0397986510570092
171,85.5,0.28468012797833142,-0.00055396171068697363,-1.5127948396547422,3.2107085792135956,0.80103132633568375,0.43755542365573807
172,86,0.28498014995920701,-0.0035604261543287414,-1.5191296614538621,1.1831045455581823,0.77195198768554885,0.27220710293747563
173,86.5,0.27654736885387182,0.006449674825256514,-1.5121874495294629,0.55602307119806982,2.3728541698756098,0.85294219604575428
174,87,0.26037028824236813,0.014194816570074762,-1.5205876153373425,0.28107539703907569,1.9680676424673411,0.22607055231323273
175,87.5,0.27573349379687484,0.006027954681169418,-1.5193142928655596,4.3687006471239993,0.49287336355429451,0.52263179308089869
176,88,0.28465277369892511,-0.0033350886755839689,-1.5104971094795792,2.5162340981227347,0.44002055464718276,1.0163878226553278
177,88.5,0.28636350380049724,-0.0056445536823676356,-1.5185960068191318,1.3414163063655593,0.81378815602178411,0.2294658713417744
178,89,0.28202785566986788,0.0017264921508493838,-1.5133502465429647,0.78451394467677116,1.9216819194994288,0.74645097385799353
179,89.5,0.27644780226886978,0.0047382659731339972,-1.5083820582738541,0.69879290663448812,1.3105108239734253,0.7319652248491022
180,90,0.27173419472912896,0.0018743391611965594,-1.5045230630470412,0.75126203188382101,0.77461877019029568,0.66572310129037082
181,90.5,0.27163379529672926,-0.0038446763093866959,-1.4905982139303895,1.1351683304831073,0.59652523662174683,1.6618597615374693
182,91,0.28124384835558042,0.0014776299244575537,-1.4975142097150609,2.7465119533523263,1.6199698356877943,0.25292691048123273
183,91.5,0.2813715941707296,-0.0010594620336650724,-1.5030653917138863,1.1645219579278145,0.79341798792744722,0.28459440356004839
184,92,0.27973679145626362,-0.00096779402026254263,-1.493593331343833,0.99033099569598493,1.0079350431126044,1.1273805655081206
185,92.5,0.2692289012356171,0.0017747410425435358,-1.4992634211515881,0.43512956151276061,1.2881416473672824,0.28047239486545206
186,93,0.27364368298739505,0.0014962304535105482,-1.4955264189681463,1.7249346289996637,0.97529614634897432,0.6689202006449283
187,93.5,0.28615263123370621,-0.0080526922159766274,-1.4906973773308283,3.6928868727836202,0.4098040524531627,0.74360312813845009
188,94,0.28751192143686483,-0.010820178867739991,-1.4981629023636798,1.3110778625132151,0.76784292509086693,0.23524963742432761
189,94.5,0.28050667953794728,-0.0010400112750943811,-1.4932254459234824,0.59556818356608987,2.5063205168380107,0.75390281068109988
190,95,0.25417224449773518,0.013647825011944384,-1.4886261644565886,0.094277003062080214,4.0342662612546363,0.73368097515279507
191,95.5,0.26437659634823163,-0.0059673242339656329,-1.4750229108888291,3.0089817243625125,0.15467597400494429,1.7415885099269075
192,96,0.26305316663659789,-0.0065945763668452187,-1.4655056524698791,1.0051522734027212,0.93875582874535479,1.192611395428459
193,96.5,0.26827106401928458,-0.00079599138899681427,-1.4690339683759195,1.8871234409368454,1.7441479614673199,0.34190057137316926
194,97,0.26547282078491047,-0.0022148862531283209,-1.4743186456818869,0.87171385076051622,0.8710718644836597,0.28732805050564664
195,97.5,0.25967744962756983,0.00090070116127189076,-1.4650584733887879,0.64900667488885877,1.3534573650225499,1.1802278059519811
196,98,0.24677615796406718,0.012633925794877319,-1.4771970291904744,0.3215867771951007,3.1591606166589186,0.14629828328145661
197,98.5,0.26311942144074085,-0.0023500781924048453,-1.4711758013247955,5.6587302604264114,0.23001576478834485,0.86458334530380476
198,99,0.27260392639748743,-0.0055750491403061949,-1.4701293983558945,2.9169125220939298,0.72582440272416471,0.53153086747122813
199,99.5,0.27031371020842132,-0.0071599610773807731,-1.4746852076957244,0.9124932894195209,0.85172952428853799,0.30471824125898472
200,100,0.2615449126158696,-0.00044889698969327704,-1.4653889715804502,0.47629260170116033,1.9494093479979469,1.2120110535297222
201,100.5,0.24499271095102143,0.0091569206145083668,-1.4667837025490205,0.21594666760756612,2.6252082355540582,0.4177529925106705
202,101,0.25120458674907115,0.0054473763879490664,-1.4621137413754575,2.1167794601541705,0.69067527083538116,0.76972207354006017
203,101.5,0.26132410344878315,-0.0059897911698178711,-1.4536944607550588,3.1668368113510015,0.31406703803970726,1.1314501315843748
204,102,0.26723840070063043,-0.0057409350092313734,-1.4600632850228132,2.0832316615072712,1.022640934608799,0.25246887487453068
205,102.5,0.2654874793207237,-0.0015105165758290914,-1.4635467098373656,0.95518499894410325,1.5384069330101149,0.33719877490452965
206,103,0.25603142399765805,0.0020780452350499493,-1.4549432381148009,0.43117986376304202,1.4460946936817438,1.1669391766127273
207,103.5,0.24594116319977269,0.0096682838205788234,-1.4589935313283944,0.39998578076947949,2.1959806589743369,0.31769071409585831
208,104,0.2594504830180514,-0.0046484532925157715,-1.4512651854382643,4.6086724452281445,0.22670480691095954,1.0770773407845211
209,104.5,0.26798723144847053,-0.0039564165139939359,-1.4536392710336643,2.7782339401061411,1.0725013351445398,0.37767375522827307
210,105,0.26713705275614802,-0.0057702642812469266,-1.459559529833891,1.0457400881045036,0.82495022828524645,0.25964322300304493
211,105.5,0.25842733838144821,0.0030280852581175341,-1.4528502417526965,0.45597999540644923,2.5227277189176807,0.97828927316350489
212,106,0.24829717727611436,0.0038417194880562551,-1.454598235104942,0.38884152544354433,1.0917252804604316,0.4018355248638284
213,106.5,0.25641678202964702,0.00032409587345952589,-1.4524460922914928,2.6882394368133187,0.68886769215531596,0.6076866501448599
214,107,0.26229026797559724,-0.0044105105106918528,-1.4468939705546671,2.1311705595242989,0.60263664951003659,0.87621304084184837
215,107.5,0.26462404033815312,-0.0076915332144989928,-1.4538157567889369,1.4652496872983267,0.70123290810251837,0.2304920273927635
216,108,0.26173137641748001,0.00081606634750959624,-1.4533121691462365,0.83519029385488797,2.4967127985737472,0.51042048478871027
217,108.5,0.24583793978937241,0.0077240099772580987,-1.4478180382145391,0.20319845108075696,2.1168304876917334,0.87761886117567944
218,109,0.24903513975574873,0.0053382224634843413,-1.4488407392658278,1.6022578107114085,0.77399579825929221,0.43370815122656226
219,109.5,0.25704424830741202,-0.0046420338767983616,-1.440337004990615,2.7224030275294751,0.33615969202925239,1.229661014586231
220,110,0.26485464394412017,-0.0016524556421639584,-1.4446637795252426,2.6849595003850806,1.3861534222025413,0.3023670200503597
221,110.5,0.26307453185780905,-0.0025389170902815777,-1.4487397751770623,0.93774702401273458,0.9059417959912528,0.30952097786844207
222,111,0.25981558184212744,-0.0016098835948321726,-1.439993763053556,0.79436979783521389,1.1072209855898909,1.2794591609348072
223,111.5,0.24851627580546878,0.0015896664932744671,-1.4415173135898653,0.32304461700183174,1.4275288793001017,0.41070800531688922
224,112,0.25264097420566728,-0.00079238548982187311,-1.4368868330658586,1.7971900444581212,0.76644296824429459,0.81697659003045009
225,112.5,0.26247524312532716,-0.0057435524488788879,-1.4354534581026066,3.4303961171676924,0.57269472198876392,0.57281714425714647
226,113,0.26320708976234325,-0.0087353275729785355,-1.4420206570822456,1.2385437465719769,0.71109989109146299,0.23227803137211228
