coordinate,frequency,normalized_fft_power
x,2.124734408197888,1.3157230480107248e-06
x,2.130983627045529,5.1304845757908136e-06
x,2.1372328458931698,4.922400569618494e-06
x,2.1434820647408106,1.0136843642508364e-05
x,2.1497312835884514,3.881353590080323e-06
x,2.1559805024360923,5.187467528326469e-07
x,2.162229721283733,3.0678856250616924e-07
x,2.168478940131374,4.971654865299706e-07
x,2.174728158979015,1.5662659500168196e-06
x,2.1809773778266557,4.557374785278745e-07
x,2.1872265966742965,5.991631592548716e-07
x,2.1934758155219374,6.930690291607141e-07
x,2.1997250343695782,1.7991467368820925e-07
x,2.205974253217219,2.1627488202056402e-06
x,2.21222347206486,2.984395680263123e-06
x,2.2184726909125008,2.2622206026132164e-06
x,2.2247219097601416,3.572990128198564e-06
x,2.2309711286077825,5.520810987071227e-06
x,2.2372203474554233,3.6256917669291747e-06
x,2.243469566303064,1.6233758781824782e-06
x,2.249718785150705,3.7100563450197323e-06
x,2.255968003998346,3.983315043467289e-06
x,2.2622172228459867,8.742787006346308e-06
x,2.2684664416936275,2.9435059767389345e-06
x,2.2747156605412684,3.501862659667839e-06
x,2.2809648793889092,2.9540193034783515e-06
x,2.28721409823655,6.930031452909471e-09
x,2.293463317084191,1.1461871088045637e-06
x,2.299712535931832,2.2690348034798598e-06
x,2.3059617547794726,1.9738165865756752e-06
x,2.3122109736271135,2.8977175721099e-06
x,2.3184601924747543,2.8209247976896886e-06
x,2.324709411322395,5.353987483603083e-07
x,2.330958630170036,1.0569443087762453e-06
x,2.337207849017677,1.608859657938822e-06
x,2.3434570678653177,1.976760195964524e-06
x,2.3497062867129586,2.4053342562462285e-06
x,2.3559555055605994,3.4950485145407845e-07
x,2.3622047244082403,1.2179322595493846e-06
x,2.368453943255881,1.9670896916579025e-06
x,2.374703162103522,7.652800845135772e-07
x,2.380952380951163,2.356038350014804e-06
x,2.3872015997988036,9.084787678857588e-07
x,2.3934508186464445,8.199663069710115e-08
x,2.3997000374940853,4.1405572460871566e-07
x,2.405949256341726,1.8897934011462246e-07
x,2.412198475189367,9.964659769846004e-07
x,2.418447694037008,2.312717393803598e-06
x,2.4246969128846487,2.685103013375839e-06
x,2.4309461317322896,9.383638324917527e-07
x,2.4371953505799304,1.1613495752026015e-06
x,2.4434445694275713,3.555993671382978e-06
x,2.449693788275212,1.007864331914297e-06
x,2.455943007122853,6.942683863365529e-07
x,2.462192225970494,7.417974224008334e-07
x,2.4684414448181347,5.504921001138844e-09
x,2.4746906636657755,1.2549232714813177e-06
x,2.4809398825134164,2.092638680605613e-06
x,2.487189101361057,2.225896543941146e-06
x,2.493438320208698,1.3263095778454317e-06
x,2.499687539056339,1.7230397476415548e-06
x,2.5059367579039797,1.3802980981121101e-06
x,2.5121859767516206,3.1641422844500493e-06
x,2.5184351955992614,3.996318306785114e-06
x,2.5246844144469023,3.2787485928553834e-05
x,2.530933633294543,2.3167441807693495e-05
x,2.537182852142184,6.0530148898658985e-06
x,2.543432070989825,1.5503340062327694e-06
x,2.5496812898374657,3.4356638783840287e-07
x,2.5559305086851065,1.5603780537461336e-06
x,2.5621797275327474,2.089099820454821e-06
x,2.568428946380388,5.584141209464772e-06
x,2.574678165228029,9.125769953155575e-07
x,2.58092738407567,5.11186609616342e-07
x,2.5871766029233108,7.349070728179933e-07
x,2.5934258217709516,6.388745033887789e-06
x,2.5996750406185924,3.5883276015119375e-06
x,2.6059242594662333,5.44768428972744e-07
x,2.612173478313874,6.87394737869929e-09
x,2.618422697161515,1.149650084048644e-06
x,2.624671916009156,4.6050032409188536e-06
x,2.6309211348567967,3.414086952544911e-06
x,2.6371703537044375,2.40991912839398e-06
x,2.6434195725520784,1.833501288704057e-05
x,2.6496687913997192,1.878478058335623e-05
x,2.65591801024736,1.3384122975910482e-05
x,2.662167229095001,1.2937902735820839e-05
x,2.6684164479426418,1.261117310584537e-05
x,2.6746656667902826,1.1959419776548058e-06
x,2.6809148856379235,2.45091351862945e-06
x,2.6871641044855643,4.4103479187147063e-07
x,2.693413323333205,1.9569246978777573e-06
x,2.699662542180846,1.9788410051427365e-06
x,2.705911761028487,2.7837716901903486e-06
x,2.7121609798761277,1.977388145382143e-05
x,2.7184101987237685,1.1374443043314246e-05
