time,lambda_1,lambda_2,lambda_3
101.5,0.7577641255423277,0.017142911230180732,-21.01055590707409
102.0,0.7573706135738462,0.015443337460649902,-21.00703972652151
102.5,0.7698965866772249,0.009462230784216253,-21.002090336182224
103.0,0.7632283102617407,-0.001871103750791031,-20.989672361066685
103.5,0.7613765982724803,0.012274431161586413,-20.97972241791077
104.0,0.7558635296328515,0.012704221441124113,-20.995051057215807
104.5,0.7743890469243551,-0.0037437061211910145,-20.99057951574384
105.0,0.7650698156654184,0.007658248074508525,-20.98596669186606
105.5,0.776901301714463,-0.0016349079227607696,-20.981425024016588
106.0,0.775032906028829,0.0029504595625140313,-20.97734624275697
106.5,0.7798131311946453,0.002352819370633927,-20.974076625847392
107.0,0.7801502491195271,0.0063046857574662295,-20.97225606535223
107.5,0.7825784815816135,0.011082770620148686,-20.97157136229091
108.0,0.7837781595399478,0.014198654987902626,-20.972138502804963
108.5,0.7862227933208155,0.020651483733129913,-20.972375199100235
109.0,0.7875547012190761,0.01863246322463583,-20.97327011069779
109.5,0.7864636464570616,0.024128716468169418,-20.969873046874557
110.0,0.7864554939903411,0.013677201840090464,-20.966719704790684
110.5,0.7933199070505089,0.01674926120368928,-20.977155835047803
111.0,0.7872335506979968,0.018974460307556507,-20.975307428901655
111.5,0.7595161710130619,0.021413479591797555,-20.95256579068347
112.0,0.7697703620910131,0.0011274902911623727,-20.943551657446218
112.5,0.7711552819172107,0.00629059779659093,-20.95993135738883
113.0,0.7653753830876083,0.005453808009550442,-20.95518337112332
113.5,0.7697884441755224,0.007681178789888712,-20.96264583143927
114.0,0.7668143542166335,0.008787677489904729,-20.964100498169326
114.5,0.7707790821089434,0.01556383264269006,-20.973763106061313
115.0,0.7570034496454433,0.016243434559822717,-20.968618303197875
115.5,0.7716475688066451,0.011503245392297254,-20.9754731165121
116.0,0.763431254101336,0.015587026659303867,-20.983336412142222
116.5,0.7694634357382785,0.012635300787807243,-20.986792412433665
117.0,0.7675911046834752,0.011236661708291176,-20.986649728243055
117.5,0.7716837629711596,0.012598643748414446,-20.989732467463288
118.0,0.7673862737312223,-0.0034589397715049,-20.977112637760072
118.5,0.7696322070928409,0.002506769557670051,-20.978568137206313
119.0,0.7619255860518312,0.00714680441030115,-20.989867993497082
119.5,0.7599066257186065,0.008982376286469489,-20.990444228786032
120.0,0.7634851956473622,0.007389421522774358,-20.991211875534223
120.5,0.7633779429533258,0.0051545384308248204,-20.990423338821607
121.0,0.7636613862924402,0.009521189671114259,-20.990234712651326
121.5,0.7645940238996285,-0.008642114858915915,-20.979015317006063
122.0,0.7527266591569435,0.01225557599686494,-20.975668981280723
122.5,0.7592057011158166,0.0021483099789498723,-20.987980512577572
123.0,0.7614998894557093,0.0004277965774085985,-20.986629227527576
123.5,0.745831642523234,0.018006211458088384,-20.98492431230556
124.0,0.7541083020067044,0.009322219133742364,-20.982770981494276
124.5,0.7543332107953524,0.01284277355536572,-20.97996856124363
125.0,0.753695974078572,0.008349130646648084,-20.976016783672996
125.5,0.7627382848277355,0.007218540764845042,-20.970303610939037
126.0,0.7514289571554706,0.009599868193963457,-20.972519493379085
126.5,0.7692279818333805,0.000516497722818393,-20.96573571500029
127.0,0.7537630788392536,0.008988064407200933,-20.97148046524265
127.5,0.7693070491998875,0.0009852014410678383,-20.965597723403434
128.0,0.7585327911635391,-0.0023515663578527,-20.960044596102357
128.5,0.7683894784297214,-0.0004676851670039226,-20.953141032556555
129.0,0.7543978903839755,0.007784396202260021,-20.9633469128764
129.5,0.7674085683032222,-0.00023700785512420519,-20.96138447065062
130.0,0.7643813513943103,0.004435501328747787,-20.95946668897665
130.5,0.7684869441809519,0.00807367726680854,-20.957985481904007
131.0,0.7679125115301006,0.0072906874214695595,-20.957918726836077
131.5,0.7661884484522944,0.019277320379956712,-20.954942033513845
132.0,0.766348197943372,0.0054122848484119005,-20.951940835273362
132.5,0.7742916522325518,0.014142477453455659,-20.96217130964283
133.0,0.7657832426234275,0.019649185951559497,-20.96240721894821
133.5,0.7567406872200497,0.02043496865838771,-20.94979571238953
134.0,0.7587801038934257,0.007508230883060682,-20.944416291402575
134.5,0.7646395400513675,0.012485554031452474,-20.959387693268425
135.0,0.759904547925809,0.01614776379556448,-20.958791603210646
135.5,0.7641085262853711,0.008971419376129584,-20.9566169667907
136.0,0.7607663449152482,0.007687263450085139,-20.953941396917838
136.5,0.7645292430944823,0.006387964337728493,-20.95640419022855
137.0,0.7427133457413765,0.00254758646973237,-20.935800610199774
137.5,0.7522781442853833,0.007411187117444878,-20.94836818690596
138.0,0.7490673279488521,0.007155492443223481,-20.955103929690303
138.5,0.7418008518722926,0.015605440678697381,-20.957997425525793
139.0,0.7515292098212039,0.009478915033739793,-20.96198095820616
139.5,0.7445515103617666,0.01330697955489972,-20.961713261532136
140.0,0.7526352395056481,0.010659159535592553,-20.965320645157448
140.5,0.7428142065533361,0.009694296510859655,-20.961610996257992
141.0,0.7523557910692891,0.006840859775817856,-20.964057054640335
141.5,0.7414565266705249,0.014602457772751758,-20.97177498020857
142.0,0.7514742498472755,0.006438626999019432,-20.973311002411716
142.5,0.7486014756902185,0.006994203783083302,-20.97300195373983
143.0,0.7519642020959305,0.0077101647137709055,-20.973969063883033
143.5,0.7503557200018051,-0.014838087597783165,-20.95562409386786
144.0,0.7450243136516719,-0.0021585499742096653,-20.954503232332105
144.5,0.7450045907656275,-0.004744430423876686,-20.964963037785544
145.0,0.7451983048189839,-0.005280442092524966,-20.964514382665737
145.5,0.7356211779303282,0.006843347138407128,-20.964015818909882
146.0,0.7411941612664703,-0.0021777302532589187,-20.962026182125665
146.5,0.7299596320590332,0.014730117480302752,-20.959787616683055
147.0,0.7382293482919757,-0.00408646827045099,-20.957164264931006
147.5,0.7320856643521741,0.009861183542996855,-20.952639977705267
148.0,0.7244094382812503,0.013821418090653997,-20.961937254892337
148.5,0.7313555433519989,0.009535564027638417,-20.95965970526914
149.0,0.7321082834763019,0.006622472362466901,-20.956995671477863
149.5,0.7394005687182533,0.004822536922898658,-20.95297686599156
150.0,0.7341860039806052,-0.010623720989416384,-20.93815515214356
150.5,0.7382152386261048,-0.0054985102534297605,-20.93123838969379
151.0,0.7332140329630193,-0.003706666466585556,-20.942705771069875
151.5,0.7199885438361995,0.01013841147180349,-20.939844434318683
152.0,0.7346670671111726,-0.0010316312507098542,-20.936456502104452
152.5,0.7310472411307303,0.0007135812001918343,-20.933544541113637
153.0,0.7353152628723555,0.004002682103738569,-20.92976245989368
153.5,0.7327594309491184,-0.008806764392539815,-20.920964783983358
154.0,0.7359065861227788,0.005004248939627026,-20.923127710354343
154.5,0.7258549476302981,0.0014840464938631758,-20.922207587474897
155.0,0.7331470437915821,0.008707282431154657,-20.93214554836052
155.5,0.732291345330919,0.013423694835543787,-20.93287369354842
156.0,0.7358664812514661,0.014515062761479553,-20.933477319064504
156.5,0.7371264264196211,0.014637707488242288,-20.934219942369253
157.0,0.7389346812108065,0.015129447490985333,-20.934035190122554
157.5,0.7397396008467936,0.012086449851551313,-20.933435448858855
158.0,0.7273149729356514,0.012401431979056295,-20.922115829708314
158.5,0.7320946625111928,-0.00191327823194132,-20.91393553722228
159.0,0.7328880636122513,0.005610030035185755,-20.928550277057095
159.5,0.7270131415623745,0.007918662981930039,-20.92613968816447
160.0,0.7313889112450761,0.0022939857330844665,-20.92554285958839
